"iec","company_name","file_number","file_date","application_type","office_id","old_name","address_line_1","address_line_2","city","district","state","pincode","gstin","membership_category","star_rating","annual_turnover","export_turnover","rcmc_valid_upto"
"0201000334","BRIDGE BENGAL","RCMCRENEWFIEO00019407AM24","2023-05-09","Renewal of e-RCMC","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Multi Product Group Category","-","28060030.83","0","2026-03-31"
"0201000539","SEA FOODS PVT. LTD.","RCMCRENEWFIEO00071489AM25","2024-12-10","Renewal of e-RCMC","3",NULL,"P-70/1, MICHAEL NAGAR,","PO.MICHAEL NAGAR","KOLKATA","24 PARAGANAS NORTH","WEST BENGAL","700133","19AAECS5275Q1ZH","Three Star Export House Category","Three Star Export House","0","0","2025-03-31"
"0201001144","SUJEX INDIA","RCMCRENEWFIEO00084858AM25","2025-03-02","Renewal of e-RCMC","3",NULL,"5TH, 511, KAMALALAYA CENTRE,","156A, LENIN SARANI,","KOLKATA","KOLKATA","WEST BENGAL","700013","19ADVPM8084A1Z1","Multi Product Group Category","-","0","0","2026-03-31"
"0201001799","UMA INTERNATIONAL","RCMCRENEWFIEO00092335AM25","2025-03-19","Renewal of e-RCMC","3",NULL,"27/12, K N I SARANI","NIMTA THANA","KOLKATA","24 PARAGANAS NORTH","WEST BENGAL","700049","19ACXPC8676M1ZG","Multi Product Group Category","-","7900000","0","2026-03-31"
"0201001918","ANIL INTERNATIONAL","RCMCRENEWFIEO00037524AM25","2024-06-04","Renewal of e-RCMC","3",NULL,"2ND FLOOR ROOM NO 22","24B CANNING STREET CLIVE ROW","KOLKATA","KOLKATA","WEST BENGAL","700001","19ABEPC5527H1ZS","Multi Product Group Category","-","3000000","0","2025-03-31"
"0201001985","AMRIT IMPEX PRIVATE LIMITED","RCMCRENEWFIEO00022541AM24","2023-05-18","Renewal of e-RCMC","3",NULL,"1, BRITISH INDIAN STREET,","ROOM NO- 604,   6TH FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700069","19AACCA3874F1ZN","One Star Export House Category","One Star Export House","250000000","0","2026-03-31"
"0201002108","NICCO ENGINEERING SERVICES LIMITED","RCMCRENEWFIEO00013216AM26","2025-04-13","Renewal of e-RCMC","3",NULL,"INFINIUM DIGISPACE, 4TH FLOOR, PLOT NO. 15,","BLOCK-CP, SECTOR-V, SALT LAKE CITY,","KOLKATA","24 PARAGANAS NORTH","WEST BENGAL","700091","19AABCN2405J1ZL","Premium Multi Product Group Category","-","834896000","50429000","2026-03-31"
"0201003147","ICON ENGINEERS PVT LTD","RCMCRENEWFIEO00078121AM25","2025-01-23","Renewal of e-RCMC","3",NULL,"3B, GOBINDA GHOSAL LANE",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700025","19AAACI6574N1ZX","Premium Multi Product Group Category","-","70000000","0","2027-03-31"
"0201004151","AMIYA TRADERS","RCMCAMENDFIEO00072486AM24","2024-02-06","Amendment of e-RCMC","3",NULL,"VILL AND P.O.KALUPUR, PS.BONGAON,",NULL,"BONGAON","24 PARAGANAS NORTH","WEST BENGAL","743235","19AGKPP8148E1ZY","Multi Product Group Category","-","6000000","0","2026-03-31"
"0201004453","S.K. INDUSTRIAL CORPORATION","RCMCRENEWFIEO00045345AM23","2023-03-05","Renewal of e-RCMC","3",NULL,"17,EZRA STREET","3RD FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700001","19ACZPJ6912H1ZZ","Premium Multi Product Group Category","-","393204378","0","2026-03-31"
"0201005441","LABVANTAGE SOLUTIONS PRIVATE LIMITED","RCMCRENEWFIEO00086267AM25","2025-03-06","Renewal of e-RCMC","3",NULL,"BIP OMEGA BUILDING, 17TH FLOOR, NORTH WING","BLOCK-EP & GP, SALT LAKE. SECTOR V","KOLKATA","KOLKATA","WEST BENGAL","700091","19AAACL5340H1ZL","Premium Multi Product Group Category","-","847900630","0","2026-03-31"
"0201005832","VINIT GLOVES MANUFACTURING PRIVATE LIMITED","RCMCRENEWFIEO00080393AM25","2025-02-06","Renewal of e-RCMC","3",NULL,"PLOT NO 42 & 44 UDAYAN INDUSTRIAL ESTATE,","3, PAGLADANGA ROAD,","KOLKATA","KOLKATA","WEST BENGAL","700015","19AABCV1885C1ZA","Two Star Export house Category","Two Star Export house","892319451","766700843.17","2026-03-31"
"0201005921","MILLENNIUM WRITING PRODUCTS PRIVATE LIMITED","RCMCRENEWFIEO00080739AM25","2025-02-09","Renewal of e-RCMC","12",NULL,"A2, SHED NO.26,","PLOT NO. 557A, GIDC, VAPI,","VALSAD","VALSAD","GUJARAT","396195","24AACCM3396E1ZL","Premium Multi Product Group Category","-","0","571502478.43","2026-03-31"
"0201006804","ROWLAND INTERNATIONAL","RCMCRENEWFIEO00060022AM26","2025-09-10","Renewal of e-RCMC","3",NULL,"VILL. DOGACHIA","P.O. DOGACHIA MONMOHANPUR","PS GAIGHATA","24 PARAGANAS NORTH","WEST BENGAL","743245","19ADKPR8131L1ZW","Two Star Export house Category","Two Star Export house","0","0","2026-03-31"
"0201007398","CHROMETAN EXPORTS PRIVATE LIMITED","RCMCRENEWFIEO00018732AM26","2025-04-22","Renewal of e-RCMC","3",NULL,"204, A.J.C. BOSE ROAD,","CONTACT NO: 033-40603062,033-40603063","KOLKATA,(W.B.)","KOLKATA","WEST BENGAL","700017","19AABCC4337Q1Z7","One Star Export House Category","One Star Export House","60000000","20741000","2026-03-31"
"0201009439","TIRUPATI INSULATING WORKS","RCMCRENEWFIEO00089731AM25","2025-03-16","Renewal of e-RCMC","3",NULL,"18/N BLOCK A NEW ALIPORE","CONTACT NO: 919331178284","KOLKATA","KOLKATA","WEST BENGAL","700053","19AEKPG9690L1ZN","Premium Multi Product Group Category","-","97000000","0","2026-03-31"
"0201009749","ORIENTAL COMPRESSOR ACCESSORIES PVT LTD","RCMCAPPLYFIEO00049860AM26","2025-07-17","Issuance of e-RCMC","3",NULL,"P-46A, RADHA BAZAR LANE,",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700001","19AAACO4272H1ZD","One Star Export House Category","One Star Export House","0","0","2026-03-31"
"0201009790","MITRA S K PVT LTD","RCMCRENEWFIEO00046904AM24","2023-08-16","Renewal of e-RCMC","3",NULL,"74B , A J C BOSE ROAD","5TH FLOOR SHRACHI CENTER","KOLKATA","KOLKATA","WEST BENGAL","700016","19AABCM8008L1Z7","Premium Multi Product Group Category","-","2500000000","0","2025-03-31"
"0201010054","PAWAN KUMAR KANOI","RCMCRENEWFIEO00071053AM24","2024-01-29","Renewal of e-RCMC","3",NULL,"20, MAHARSHI DEBENDRA ROAD","2ND FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700007","19AFMPK8908A1ZB","One Star Export House Category","One Star Export House","4531237946","0","2026-03-31"
"0201010801","J. K. ENTERPRISE","RCMCRENEWFIEO00021914AM26","2025-04-28","Renewal of e-RCMC","3",NULL,"33/1 NETAJI SUBHAS ROAD","MARSHAL HOUSE, 8TH FLOOR, ROOM NO. 863","KOLKATA","KOLKATA","WEST BENGAL","700001","19ADTPR9128E1ZV","Multi Product Group Category","-","25431613.9","20565906.5","2026-03-31"
"0201010968","PATWARI ASSOCIATES PVT LTD","RCMCRENEWFIEO00013956AM26","2025-04-14","Renewal of e-RCMC","3",NULL,"53 HUMAYUN KABIR SARANI 140B NEW ALIPORE, BLOCK G","NEW ALIPORE","KOLKATA","KOLKATA","WEST BENGAL","700053","19AABCP9653J1ZV","Multi Product Group Category","-","13794290","10380890","2026-03-31"
"0201011204","GLOBAL TRADES & EXPORTS","RCMCRENEWFIEO00096687AM25","2025-03-24","Renewal of e-RCMC","3",NULL,"3 ROYD LANE, FLAT NO 3A, 3RD FLOOR",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700016","19ADMPA1613Q1ZC","Multi Product Group Category","-","26441450","0","2026-03-31"
"0201011387","BRIDGETREE RESEARCH SERVICES PRIVATE LIMITED","RCMCAMENDFIEO00072730AM26","2025-12-07","Amendment of e-RCMC","14",NULL,"BRIGADE TECH PARK","3RD FLOOR PATTANDUR AGRAHARA, WHITEFILED, BANGALORE CONTACT NO: 919836260395","BANGALORE","BENGALURU URBAN","KARNATAKA","560066","29AABCB6056D1ZU","Premium Multi Product Group Category","-","154504762","0","2026-03-31"
"0201011841","AP IMPEX","RCMCRENEWFIEO00044737AM26","2025-06-27","Renewal of e-RCMC","3",NULL,"OSWAL CHAMBERS, UNIT NO.303A","3RD FLOOR, 2, CHURCH LANE,","KOLKATA","KOLKATA","WEST BENGAL","700001","19AEBPD1793G1ZM","Multi Product Group Category","-","2.47","0","2026-03-31"
"0201011972","J P INTERNATIONAL","RCMCRENEWFIEO00042018AM24","2023-07-21","Renewal of e-RCMC","3",NULL,"73/A GANESH CHANDRA AVENUE","3RD FLOOR","KOLKATA","KOLKATA","WEST BENGAL","700013","19AGSPP5845Q1Z3","One Star Export House Category","One Star Export House","231292778","0","2028-03-31"
